resume_text,job_description,match_score
"Qa Engineer with 5 years of experience. Proficient in api testing, cypress, testing, junit, pytest. Also skilled in automation. Built multiple projects and worked in agile environment. Strong problem-solving skills.","QA Engineer position. Looking for 6+ years of experience. Required skills: automation, selenium, cypress, quality assurance, junit, api testing. Must have strong leadership abilities. Hybrid work. Competitive salary and benefits.",67.31
"Backend with 5 years of experience. Proficient in microservices, sql, postgresql, python, java. Also skilled in rest api, redis. Built multiple projects and worked in enterprise environment. Strong problem-solving skills.","Backend Developer position. Looking for 6+ years of experience. Required skills: rest api, postgresql, java, microservices, mongodb. Must have strong technical abilities. Remote work. Competitive salary and benefits.",77.25
"Devops with 3 years of experience. Proficient in linux, docker, jenkins, kubernetes, ci/cd. Also skilled in aws. Built multiple projects and worked in enterprise environment. Strong problem-solving skills.","DevOps Engineer position. Looking for 7+ years of experience. Required skills: terraform, jenkins, ci/cd, linux, git, docker, kubernetes. Must have strong technical abilities. On-site work. Competitive salary and benefits.",50.3
"Qa Engineer with 3 years of experience. Proficient in testing, cypress, junit, pytest, selenium. Also skilled in automation. Built multiple projects and worked in startup environment. Strong problem-solving skills.","QA Engineer position. Looking for 2+ years of experience. Required skills: junit, testing, api testing, quality assurance. Must have strong technical abilities. Remote work. Competitive salary and benefits.",65.45
"Devops with 8 years of experience. Proficient in linux, kubernetes, docker, ansible, git. Also skilled in terraform, jenkins. Built multiple projects and worked in enterprise environment. Strong teamwork skills.","DevOps Engineer position. Looking for 6+ years of experience. Required skills: terraform, jenkins, git, aws, kubernetes, linux. Must have strong technical abilities. Remote work. Competitive salary and benefits.",81.59
"Data Scientist with 6 years of experience. Proficient in statistics, pandas, deep learning, nlp, tensorflow. Also skilled in sql, numpy, machine learning. Built multiple projects and worked in agile environment. Strong teamwork skills.","Data Scientist position. Looking for 5+ years of experience. Required skills: python, nlp, numpy, statistics, machine learning, pandas, deep learning. Must have strong leadership abilities. Remote work. Competitive salary and benefits.",86.97
"Full Stack with 2 years of experience. Proficient in mongodb, javascript, node.js, html, rest api. Also skilled in typescript, express, react, css. Built multiple projects and worked in agile environment. Strong problem-solving skills.","Full Stack Developer position. Looking for 3+ years of experience. Required skills: typescript, node.js, express, mongodb, rest api, html. Must have strong analytical abilities. Remote work. Competitive salary and benefits.",77.95
"Mobile Developer with 7 years of experience. Proficient in mobile, react native, firebase, flutter, swift. Built multiple projects and worked in agile environment. Strong problem-solving skills.","Mobile Developer position. Looking for 5+ years of experience. Required skills: android, kotlin, flutter, firebase. Must have strong analytical abilities. On-site work. Competitive salary and benefits.",63.62
"Backend with 8 years of experience. Proficient in python, node.js, mongodb, sql, redis. Also skilled in microservices, java. Built multiple projects and worked in startup environment. Strong communication skills.","Backend Developer position. Looking for 4+ years of experience. Required skills: redis, java, node.js, mongodb, sql, rest api. Must have strong analytical abilities. On-site work. Competitive salary and benefits.",82.18
"Devops with 6 years of experience. Proficient in docker, linux, ansible, git, terraform. Also skilled in ci/cd, aws. Built multiple projects and worked in enterprise environment. Strong problem-solving skills.","DevOps Engineer position. Looking for 3+ years of experience. Required skills: jenkins, linux, aws, ansible, ci/cd, git. Must have strong analytical abilities. Hybrid work. Competitive salary and benefits.",82.04
"Backend with 4 years of experience. Proficient in redis, mongodb, postgresql, microservices, java. Also skilled in sql, rest api. Built multiple projects and worked in agile environment. Strong problem-solving skills.","Backend Developer position. Looking for 6+ years of experience. Required skills: rest api, mongodb, node.js, microservices, python. Must have strong leadership abilities. Hybrid work. Competitive salary and benefits.",53.64
"Qa Engineer with 2 years of experience. Proficient in selenium, quality assurance, pytest, testing, junit. Also skilled in cypress, automation, api testing. Built multiple projects and worked in enterprise environment. Strong problem-solving skills.","QA Engineer position. Looking for 2+ years of experience. Required skills: selenium, quality assurance, api testing, pytest. Must have strong analytical abilities. Remote work. Competitive salary and benefits.",94.25
"Software Engineer with 4 years of experience. Proficient in api, sql, python, git, django. Also skilled in node.js, spring, java, javascript. Built multiple projects and worked in agile environment. Strong problem-solving skills.","Software Engineer position. Looking for 8+ years of experience. Required skills: git, react, javascript, python, api, django. Must have strong analytical abilities. On-site work. Competitive salary and benefits.",69.28
"Mobile Developer with 7 years of experience. Proficient in kotlin, ios, android, firebase, swift. Also skilled in mobile, flutter, react native. Built multiple projects and worked in agile environment. Strong communication skills.","Mobile Developer position. Looking for 2+ years of experience. Required skills: firebase, ios, swift, react native, android. Must have strong leadership abilities. Remote work. Competitive salary and benefits.",90.2
"Devops with 7 years of experience. Proficient in git, ansible, kubernetes, docker, linux. Also skilled in jenkins. Built multiple projects and worked in startup environment. Strong teamwork skills.","DevOps Engineer position. Looking for 5+ years of experience. Required skills: jenkins, ansible, docker, aws, terraform, git. Must have strong technical abilities. Hybrid work. Competitive salary and benefits.",72.87
"Qa Engineer with 5 years of experience. Proficient in cypress, junit, selenium, automation, pytest. Built multiple projects and worked in agile environment. Strong problem-solving skills.","QA Engineer position. Looking for 2+ years of experience. Required skills: api testing, pytest, quality assurance, testing, junit. Must have strong leadership abilities. Remote work. Competitive salary and benefits.",55.67
"Frontend with 1 years of experience. Proficient in vue, sass, javascript, react, webpack. Also skilled in angular, html, css. Built multiple projects and worked in agile environment. Strong communication skills.","Frontend Developer position. Looking for 1+ years of experience. Required skills: webpack, typescript, javascript, css, angular. Must have strong technical abilities. Remote work. Competitive salary and benefits.",76.89
"Devops with 6 years of experience. Proficient in linux, kubernetes, aws, terraform, ci/cd. Also skilled in git, jenkins, docker, ansible. Built multiple projects and worked in enterprise environment. Strong communication skills.","DevOps Engineer position. Looking for 3+ years of experience. Required skills: docker, kubernetes, git, linux, ci/cd. Must have strong technical abilities. On-site work. Competitive salary and benefits.",93.51
"Data Scientist with 2 years of experience. Proficient in deep learning, pytorch, python, tensorflow, sql. Also skilled in numpy, statistics, machine learning, nlp. Built multiple projects and worked in startup environment. Strong problem-solving skills.","Data Scientist position. Looking for 3+ years of experience. Required skills: statistics, pytorch, numpy, nlp, tensorflow, deep learning, sql, machine learning. Must have strong analytical abilities. Hybrid work. Competitive salary and benefits.",76.27
"Mobile Developer with 6 years of experience. Proficient in flutter, kotlin, firebase, react native, swift. Built multiple projects and worked in startup environment. Strong teamwork skills.","Mobile Developer position. Looking for 6+ years of experience. Required skills: swift, react native, kotlin, ios, flutter, mobile. Must have strong analytical abilities. Hybrid work. Competitive salary and benefits.",81.87
"Software Engineer with 7 years of experience. Proficient in sql, javascript, django, node.js, spring. Also skilled in api, java, git, python. Built multiple projects and worked in enterprise environment. Strong teamwork skills.","Software Engineer position. Looking for 3+ years of experience. Required skills: java, react, spring, git, python, javascript. Must have strong leadership abilities. On-site work. Competitive salary and benefits.",82.45
"Backend with 3 years of experience. Proficient in python, redis, microservices, postgresql, java. Also skilled in sql, mongodb. Built multiple projects and worked in startup environment. Strong teamwork skills.","Backend Developer position. Looking for 4+ years of experience. Required skills: postgresql, redis, node.js, microservices, rest api, mongodb, python. Must have strong technical abilities. On-site work. Competitive salary and benefits.",69.81
"Software Engineer with 7 years of experience. Proficient in javascript, spring, django, node.js, api. Also skilled in git, java. Built multiple projects and worked in agile environment. Strong communication skills.","Software Engineer position. Looking for 6+ years of experience. Required skills: java, django, python, node.js, react, api, sql. Must have strong leadership abilities. On-site work. Competitive salary and benefits.",68.55
"Data Scientist with 7 years of experience. Proficient in statistics, python, numpy, pytorch, machine learning. Also skilled in sql, pandas. Built multiple projects and worked in agile environment. Strong communication skills.","Data Scientist position. Looking for 2+ years of experience. Required skills: pytorch, sql, statistics, tensorflow, pandas, deep learning. Must have strong analytical abilities. On-site work. Competitive salary and benefits.",75.22
"Mobile Developer with 2 years of experience. Proficient in mobile, swift, firebase, flutter, react native. Also skilled in android, kotlin, ios. Built multiple projects and worked in enterprise environment. Strong problem-solving skills.","Mobile Developer position. Looking for 5+ years of experience. Required skills: react native, android, kotlin, swift, flutter, ios. Must have strong technical abilities. Remote work. Competitive salary and benefits.",66.7
"Full Stack with 3 years of experience. Proficient in mongodb, react, javascript, express, typescript. Also skilled in html, rest api, css, node.js. Built multiple projects and worked in startup environment. Strong teamwork skills.","Full Stack Developer position. Looking for 4+ years of experience. Required skills: typescript, html, javascript, node.js, react, mongodb, express. Must have strong leadership abilities. Hybrid work. Competitive salary and benefits.",85.31
"Devops with 7 years of experience. Proficient in ansible, linux, kubernetes, docker, ci/cd. Also skilled in git. Built multiple projects and worked in startup environment. Strong teamwork skills.","DevOps Engineer position. Looking for 6+ years of experience. Required skills: terraform, git, ansible, kubernetes, jenkins, aws, ci/cd. Must have strong analytical abilities. Hybrid work. Competitive salary and benefits.",69.48
"Qa Engineer with 7 years of experience. Proficient in selenium, api testing, junit, testing, automation. Also skilled in cypress. Built multiple projects and worked in agile environment. Strong communication skills.","QA Engineer position. Looking for 5+ years of experience. Required skills: selenium, cypress, junit, quality assurance, testing. Must have strong leadership abilities. Remote work. Competitive salary and benefits.",81.57
"Mobile Developer with 7 years of experience. Proficient in react native, firebase, android, ios, kotlin. Also skilled in mobile. Built multiple projects and worked in agile environment. Strong communication skills.","Mobile Developer position. Looking for 4+ years of experience. Required skills: swift, android, firebase, ios, mobile. Must have strong analytical abilities. Hybrid work. Competitive salary and benefits.",84.09
"Devops with 8 years of experience. Proficient in terraform, docker, linux, kubernetes, ci/cd. Also skilled in ansible, git, aws. Built multiple projects and worked in startup environment. Strong problem-solving skills.","DevOps Engineer position. Looking for 8+ years of experience. Required skills: ansible, linux, git, docker, aws, ci/cd, kubernetes. Must have strong technical abilities. Remote work. Competitive salary and benefits.",88.6
"Devops with 5 years of experience. Proficient in git, kubernetes, ci/cd, linux, terraform. Also skilled in aws, jenkins. Built multiple projects and worked in enterprise environment. Strong communication skills.","DevOps Engineer position. Looking for 5+ years of experience. Required skills: kubernetes, git, ansible, docker, ci/cd, jenkins. Must have strong leadership abilities. Remote work. Competitive salary and benefits.",72.87
"Full Stack with 6 years of experience. Proficient in react, rest api, node.js, css, express. Also skilled in mongodb, html, typescript. Built multiple projects and worked in startup environment. Strong communication skills.","Full Stack Developer position. Looking for 4+ years of experience. Required skills: mongodb, html, javascript, typescript, react. Must have strong technical abilities. Remote work. Competitive salary and benefits.",80.37
"Qa Engineer with 2 years of experience. Proficient in junit, api testing, testing, selenium, cypress. Also skilled in pytest, automation. Built multiple projects and worked in agile environment. Strong problem-solving skills.","QA Engineer position. Looking for 2+ years of experience. Required skills: quality assurance, testing, pytest, junit, cypress, automation. Must have strong leadership abilities. Hybrid work. Competitive salary and benefits.",84.81
"Mobile Developer with 4 years of experience. Proficient in kotlin, ios, mobile, react native, android. Also skilled in swift, flutter. Built multiple projects and worked in agile environment. Strong communication skills.","Mobile Developer position. Looking for 2+ years of experience. Required skills: mobile, ios, swift, flutter. Must have strong technical abilities. Remote work. Competitive salary and benefits.",94.2
"Software Engineer with 5 years of experience. Proficient in spring, java, javascript, python, api. Also skilled in sql, git, node.js. Built multiple projects and worked in agile environment. Strong communication skills.","Software Engineer position. Looking for 4+ years of experience. Required skills: spring, django, python, node.js, git, java, sql, react. Must have strong leadership abilities. Hybrid work. Competitive salary and benefits.",81.13
"Backend with 7 years of experience. Proficient in postgresql, python, mongodb, sql, node.js. Also skilled in java, redis. Built multiple projects and worked in startup environment. Strong problem-solving skills.","Backend Developer position. Looking for 2+ years of experience. Required skills: rest api, java, python, postgresql, mongodb, redis, node.js. Must have strong analytical abilities. On-site work. Competitive salary and benefits.",82.47
"Devops with 3 years of experience. Proficient in jenkins, ansible, ci/cd, docker, aws. Also skilled in terraform, kubernetes, linux. Built multiple projects and worked in startup environment. Strong problem-solving skills.","DevOps Engineer position. Looking for 7+ years of experience. Required skills: git, terraform, docker, kubernetes, ansible, aws. Must have strong leadership abilities. On-site work. Competitive salary and benefits.",58.05
"Software Engineer with 2 years of experience. Proficient in spring, django, api, javascript, sql. Also skilled in java, node.js. Built multiple projects and worked in startup environment. Strong teamwork skills.","Software Engineer position. Looking for 7+ years of experience. Required skills: api, node.js, django, react, python, sql, git. Must have strong leadership abilities. On-site work. Competitive salary and benefits.",41.87
"Software Engineer with 3 years of experience. Proficient in git, java, api, javascript, sql. Also skilled in spring, python, node.js, django. Built multiple projects and worked in startup environment. Strong problem-solving skills.","Software Engineer position. Looking for 2+ years of experience. Required skills: node.js, java, spring, javascript, django, git, sql, api. Must have strong analytical abilities. On-site work. Competitive salary and benefits.",92.38
"Frontend with 6 years of experience. Proficient in javascript, vue, css, react, typescript. Also skilled in sass, webpack. Built multiple projects and worked in enterprise environment. Strong communication skills.","Frontend Developer position. Looking for 1+ years of experience. Required skills: typescript, sass, vue, react, css, webpack. Must have strong technical abilities. On-site work. Competitive salary and benefits.",90.41
"Software Engineer with 2 years of experience. Proficient in python, node.js, react, django, sql. Also skilled in git, java, javascript, api, spring. Built multiple projects and worked in enterprise environment. Strong teamwork skills.","Software Engineer position. Looking for 5+ years of experience. Required skills: react, java, api, node.js, django, javascript, git. Must have strong technical abilities. Remote work. Competitive salary and benefits.",69.65
"Full Stack with 7 years of experience. Proficient in rest api, express, html, typescript, node.js. Also skilled in react, css, mongodb. Built multiple projects and worked in enterprise environment. Strong problem-solving skills.","Full Stack Developer position. Looking for 7+ years of experience. Required skills: html, mongodb, express, node.js, javascript. Must have strong analytical abilities. On-site work. Competitive salary and benefits.",79.98
"Devops with 4 years of experience. Proficient in linux, ansible, git, kubernetes, jenkins. Also skilled in terraform, ci/cd. Built multiple projects and worked in enterprise environment. Strong teamwork skills.","DevOps Engineer position. Looking for 6+ years of experience. Required skills: jenkins, git, kubernetes, ci/cd, docker. Must have strong technical abilities. Hybrid work. Competitive salary and benefits.",65.01
"Software Engineer with 9 years of experience. Proficient in node.js, react, django, git, javascript. Also skilled in java, python, api. Built multiple projects and worked in startup environment. Strong problem-solving skills.","Software Engineer position. Looking for 2+ years of experience. Required skills: spring, python, node.js, java, react, sql, javascript, api. Must have strong analytical abilities. Hybrid work. Competitive salary and benefits.",78.59
"Full Stack with 2 years of experience. Proficient in css, node.js, html, javascript, mongodb. Also skilled in rest api, express. Built multiple projects and worked in agile environment. Strong problem-solving skills.","Full Stack Developer position. Looking for 7+ years of experience. Required skills: rest api, mongodb, javascript, node.js, typescript, html. Must have strong technical abilities. On-site work. Competitive salary and benefits.",58.06
"Devops with 6 years of experience. Proficient in kubernetes, jenkins, linux, aws, ansible. Also skilled in docker. Built multiple projects and worked in startup environment. Strong communication skills.","DevOps Engineer position. Looking for 8+ years of experience. Required skills: ci/cd, docker, git, jenkins, terraform, ansible. Must have strong analytical abilities. Remote work. Competitive salary and benefits.",59.92
"Full Stack with 7 years of experience. Proficient in typescript, express, rest api, html, react. Also skilled in css, node.js, javascript, mongodb. Built multiple projects and worked in startup environment. Strong problem-solving skills.","Full Stack Developer position. Looking for 2+ years of experience. Required skills: react, javascript, express, typescript, html, node.js. Must have strong technical abilities. On-site work. Competitive salary and benefits.",91.77
"Data Scientist with 4 years of experience. Proficient in nlp, tensorflow, pytorch, statistics, numpy. Also skilled in sql, python. Built multiple projects and worked in startup environment. Strong problem-solving skills.","Data Scientist position. Looking for 4+ years of experience. Required skills: nlp, python, numpy, sql, deep learning, tensorflow, statistics, pytorch. Must have strong leadership abilities. On-site work. Competitive salary and benefits.",86.24
"Software Engineer with 2 years of experience. Proficient in java, sql, node.js, django, javascript. Also skilled in react, api, python. Built multiple projects and worked in enterprise environment. Strong problem-solving skills.","Software Engineer position. Looking for 7+ years of experience. Required skills: django, node.js, spring, api, javascript, react, python. Must have strong technical abilities. On-site work. Competitive salary and benefits.",58.45
"Qa Engineer with 7 years of experience. Proficient in pytest, quality assurance, junit, automation, cypress. Also skilled in selenium, api testing. Built multiple projects and worked in enterprise environment. Strong problem-solving skills.","QA Engineer position. Looking for 2+ years of experience. Required skills: testing, junit, automation, api testing, cypress, pytest. Must have strong leadership abilities. On-site work. Competitive salary and benefits.",89.99
"Data Scientist with 4 years of experience. Proficient in numpy, deep learning, nlp, machine learning, pandas. Also skilled in sql, pytorch, tensorflow, statistics. Built multiple projects and worked in startup environment. Strong teamwork skills.","Data Scientist position. Looking for 5+ years of experience. Required skills: tensorflow, deep learning, machine learning, sql, nlp, numpy, pandas, pytorch. Must have strong analytical abilities. Hybrid work. Competitive salary and benefits.",90.06
"Data Scientist with 7 years of experience. Proficient in pytorch, python, sql, nlp, statistics. Also skilled in pandas, deep learning, numpy, machine learning. Built multiple projects and worked in agile environment. Strong communication skills.","Data Scientist position. Looking for 2+ years of experience. Required skills: sql, tensorflow, numpy, deep learning, machine learning, python. Must have strong leadership abilities. Remote work. Competitive salary and benefits.",85.01
"Software Engineer with 7 years of experience. Proficient in spring, javascript, api, python, node.js. Also skilled in django, git, react, java. Built multiple projects and worked in enterprise environment. Strong problem-solving skills.","Software Engineer position. Looking for 8+ years of experience. Required skills: node.js, django, spring, python, java, javascript. Must have strong leadership abilities. Hybrid work. Competitive salary and benefits.",87.64
"Mobile Developer with 5 years of experience. Proficient in swift, mobile, react native, flutter, android. Also skilled in ios. Built multiple projects and worked in enterprise environment. Strong problem-solving skills.","Mobile Developer position. Looking for 6+ years of experience. Required skills: firebase, swift, react native, mobile, kotlin, flutter. Must have strong analytical abilities. Remote work. Competitive salary and benefits.",71.54
"Qa Engineer with 3 years of experience. Proficient in junit, selenium, pytest, api testing, testing. Also skilled in automation. Built multiple projects and worked in agile environment. Strong problem-solving skills.","QA Engineer position. Looking for 4+ years of experience. Required skills: cypress, automation, quality assurance, junit, testing. Must have strong leadership abilities. Hybrid work. Competitive salary and benefits.",65.13
"Frontend with 3 years of experience. Proficient in angular, webpack, html, javascript, typescript. Also skilled in vue, css, react. Built multiple projects and worked in enterprise environment. Strong problem-solving skills.","Frontend Developer position. Looking for 1+ years of experience. Required skills: vue, angular, typescript, html, react, webpack, css. Must have strong leadership abilities. On-site work. Competitive salary and benefits.",89.47
"Devops with 6 years of experience. Proficient in ci/cd, aws, jenkins, git, docker. Also skilled in terraform, kubernetes, ansible. Built multiple projects and worked in agile environment. Strong problem-solving skills.","DevOps Engineer position. Looking for 7+ years of experience. Required skills: jenkins, aws, git, kubernetes, ci/cd. Must have strong technical abilities. On-site work. Competitive salary and benefits.",87.57
"Software Engineer with 4 years of experience. Proficient in java, spring, django, node.js, git. Also skilled in python, react, api. Built multiple projects and worked in agile environment. Strong problem-solving skills.","Software Engineer position. Looking for 6+ years of experience. Required skills: git, sql, java, python, javascript, node.js, spring. Must have strong leadership abilities. On-site work. Competitive salary and benefits.",62.36
"Data Scientist with 5 years of experience. Proficient in numpy, tensorflow, python, deep learning, statistics. Also skilled in pytorch, machine learning, nlp, sql, pandas. Built multiple projects and worked in enterprise environment. Strong communication skills.","Data Scientist position. Looking for 6+ years of experience. Required skills: numpy, tensorflow, statistics, pandas, pytorch, machine learning, sql. Must have strong technical abilities. On-site work. Competitive salary and benefits.",88.04
"Data Scientist with 4 years of experience. Proficient in python, tensorflow, deep learning, statistics, sql. Also skilled in pytorch, numpy. Built multiple projects and worked in agile environment. Strong communication skills.","Data Scientist position. Looking for 2+ years of experience. Required skills: nlp, statistics, pytorch, pandas, sql, tensorflow, machine learning. Must have strong leadership abilities. Remote work. Competitive salary and benefits.",68.36
"Full Stack with 8 years of experience. Proficient in html, css, react, javascript, node.js. Also skilled in typescript, rest api, express. Built multiple projects and worked in enterprise environment. Strong teamwork skills.","Full Stack Developer position. Looking for 3+ years of experience. Required skills: css, typescript, node.js, javascript, mongodb, express, rest api. Must have strong analytical abilities. On-site work. Competitive salary and benefits.",83.61
"Frontend with 3 years of experience. Proficient in typescript, react, html, angular, sass. Also skilled in vue. Built multiple projects and worked in agile environment. Strong communication skills.","Frontend Developer position. Looking for 4+ years of experience. Required skills: webpack, react, vue, javascript, css. Must have strong analytical abilities. On-site work. Competitive salary and benefits.",52.03
"Data Scientist with 5 years of experience. Proficient in sql, statistics, nlp, pytorch, deep learning. Also skilled in python, tensorflow, pandas, machine learning, numpy. Built multiple projects and worked in enterprise environment. Strong communication skills.","Data Scientist position. Looking for 2+ years of experience. Required skills: deep learning, python, nlp, pytorch, machine learning, numpy. Must have strong analytical abilities. Remote work. Competitive salary and benefits.",96.13
"Data Scientist with 2 years of experience. Proficient in tensorflow, machine learning, sql, pandas, deep learning. Also skilled in python, statistics, numpy, nlp. Built multiple projects and worked in enterprise environment. Strong communication skills.","Data Scientist position. Looking for 6+ years of experience. Required skills: sql, deep learning, numpy, pytorch, python, pandas. Must have strong technical abilities. Hybrid work. Competitive salary and benefits.",59.0
"Mobile Developer with 4 years of experience. Proficient in mobile, swift, flutter, ios, react native. Also skilled in android. Built multiple projects and worked in startup environment. Strong teamwork skills.","Mobile Developer position. Looking for 2+ years of experience. Required skills: kotlin, flutter, mobile, android. Must have strong technical abilities. Remote work. Competitive salary and benefits.",79.11
"Software Engineer with 8 years of experience. Proficient in api, javascript, git, node.js, spring. Also skilled in sql, django. Built multiple projects and worked in startup environment. Strong communication skills.","Software Engineer position. Looking for 8+ years of experience. Required skills: node.js, java, react, api, spring, python. Must have strong analytical abilities. Hybrid work. Competitive salary and benefits.",74.72
"Qa Engineer with 5 years of experience. Proficient in selenium, testing, api testing, cypress, pytest. Also skilled in quality assurance. Built multiple projects and worked in startup environment. Strong communication skills.","QA Engineer position. Looking for 3+ years of experience. Required skills: quality assurance, automation, cypress, selenium, junit, testing. Must have strong technical abilities. Hybrid work. Competitive salary and benefits.",74.05
"Devops with 7 years of experience. Proficient in aws, jenkins, linux, ansible, ci/cd. Also skilled in docker. Built multiple projects and worked in agile environment. Strong teamwork skills.","DevOps Engineer position. Looking for 7+ years of experience. Required skills: ansible, aws, terraform, git, ci/cd, linux, docker. Must have strong analytical abilities. On-site work. Competitive salary and benefits.",76.66
"Data Scientist with 3 years of experience. Proficient in deep learning, pandas, machine learning, nlp, pytorch. Also skilled in python, statistics, sql, numpy. Built multiple projects and worked in agile environment. Strong problem-solving skills.","Data Scientist position. Looking for 5+ years of experience. Required skills: numpy, pandas, nlp, deep learning, sql, tensorflow, python. Must have strong technical abilities. Hybrid work. Competitive salary and benefits.",70.25
"Devops with 5 years of experience. Proficient in linux, jenkins, aws, terraform, ansible. Also skilled in git, kubernetes. Built multiple projects and worked in agile environment. Strong communication skills.","DevOps Engineer position. Looking for 7+ years of experience. Required skills: git, ansible, terraform, linux, ci/cd, jenkins, docker. Must have strong technical abilities. On-site work. Competitive salary and benefits.",60.71
"Backend with 8 years of experience. Proficient in python, rest api, java, node.js, postgresql. Also skilled in sql. Built multiple projects and worked in agile environment. Strong communication skills.","Backend Developer position. Looking for 7+ years of experience. Required skills: mongodb, postgresql, rest api, microservices, node.js. Must have strong analytical abilities. Remote work. Competitive salary and benefits.",67.52
"Mobile Developer with 7 years of experience. Proficient in swift, mobile, android, react native, firebase. Also skilled in ios, kotlin. Built multiple projects and worked in agile environment. Strong problem-solving skills.","Mobile Developer position. Looking for 6+ years of experience. Required skills: flutter, kotlin, ios, android, firebase, mobile. Must have strong analytical abilities. On-site work. Competitive salary and benefits.",81.96
"Frontend with 2 years of experience. Proficient in typescript, javascript, sass, html, vue. Also skilled in angular. Built multiple projects and worked in startup environment. Strong communication skills.","Frontend Developer position. Looking for 1+ years of experience. Required skills: vue, angular, webpack, html, react, sass, javascript. Must have strong analytical abilities. Remote work. Competitive salary and benefits.",72.34
"Software Engineer with 3 years of experience. Proficient in sql, python, git, spring, django. Also skilled in api, java. Built multiple projects and worked in agile environment. Strong problem-solving skills.","Software Engineer position. Looking for 8+ years of experience. Required skills: node.js, python, git, javascript, api, django, react, spring. Must have strong technical abilities. Hybrid work. Competitive salary and benefits.",47.18
